09/02/2026 14:34:39 | INFO     | __main__ | === START PIPELINE ===
09/02/2026 14:34:40 | INFO     | src.ingestion | Dossier chargé dans : data/bronze/eirel/raw-eirel-municipale.txt
09/02/2026 14:34:40 | INFO     | src.processing | Traitement EIREL...
09/02/2026 14:34:40 | INFO     | src.processing | Récupération des données EIREL...
09/02/2026 14:34:40 | INFO     | src.processing | EIREL récupéré avec succès.
09/02/2026 14:34:40 | INFO     | src.processing | EIREL traité avec succès.
09/02/2026 14:34:40 | INFO     | src.enrichment | Enrichissement des données...
09/02/2026 14:34:40 | INFO     | src.enrichment | Jointure avec les bureaux de vote...
09/02/2026 14:34:40 | INFO     | src.enrichment | Ajout des noms de candidat
09/02/2026 14:34:40 | INFO     | src.enrichment | Enrichissement fait avec succès.
09/02/2026 14:34:40 | INFO     | __main__ | === END PIPELINE ===
