13/02/2026 14:53:05 | INFO     | __main__ | === START PIPELINE ===
13/02/2026 14:53:06 | INFO     | src.ingestion | Dossier chargé dans : data/bronze/eirel/raw-eirel-municipale.txt
13/02/2026 14:53:06 | INFO     | src.processing | Traitement EIREL...
13/02/2026 14:53:06 | INFO     | src.processing | Récupération des données EIREL...
13/02/2026 14:53:06 | INFO     | src.processing | 32
13/02/2026 14:53:06 | INFO     | src.processing | EIREL récupéré avec succès.
13/02/2026 14:53:06 | INFO     | src.processing | EIREL traité avec succès.
13/02/2026 14:53:06 | INFO     | src.enrichment | Enrichissement des données...
13/02/2026 14:53:07 | INFO     | src.enrichment | Jointure avec les bureaux de vote...
13/02/2026 14:53:07 | INFO     | src.enrichment | Ajout des noms de candidat
13/02/2026 14:53:07 | INFO     | src.enrichment | Enrichissement fait avec succès.
13/02/2026 14:53:07 | INFO     | __main__ | === END PIPELINE ===
