! DateCreation=27/11/2025
! Elections municipales
1;MN;2025;2;92;048;0001;I;931;131;800;800;10;10;780;4;001;50;002;50;003;500;004;180
2;MN;2025;2;92;048;0002;I;1023;173;850;850;10;10;830;4;001;300;002;50;003;400;004;80
3;MN;2025;2;92;048;0003;I;987;187;800;800;0;0;800;4;001;100;002;350;003;350;004;0
4;MN;2025;2;92;048;0004;I;1036;286;750;750;25;25;700;4;001;100;002;300;003;300;004;0
5;MN;2025;2;92;048;0005;I;1006;106;900;900;0;0;900;4;001;100;002;250;003;455;004;95
6;MN;2025;2;92;048;0006;I;1041;41;1000;1000;50;50;900;4;001;150;002;250;003;460;004;40
7;MN;2025;2;92;048;0007;I;1032;182;850;850;0;0;850;4;001;50;002;350;003;400;004;50
8;MN;2025;2;92;048;0008;I;957;197;760;760;10;0;750;4;001;50;002;250;003;378;004;72
9;MN;2025;2;92;048;0009;I;952;146;806;806;3;3;800;4;001;60;002;150;003;430;004;160
10;MN;2025;2;92;048;0010;I;943;143;800;800;0;0;800;4;001;50;002;250;003;402;004;98
11;MN;2025;2;92;048;0011;I;962;162;800;800;10;10;780;4;001;80;002;250;003;390;004;60
12;MN;2025;2;92;048;0012;I;877;227;650;650;5;5;640;4;001;140;002;150;003;323;004;27
13;MN;2025;2;92;048;0013;I;1072;172;900;900;0;0;900;4;001;200;002;200;003;456;004;44
14;MN;2025;2;92;048;0014;I;933;83;850;850;10;10;830;4;001;130;002;200;003;416;004;84
15;MN;2025;2;92;048;0015;I;1015;415;600;600;0;0;600;4;001;50;002;200;003;340;004;10
16;MN;2025;2;92;048;0016;I;973;173;800;800;10;10;780;4;001;80;002;200;003;350;004;150
17;MN;2025;2;92;048;0017;I;1005;205;800;800;0;0;800;4;001;50;002;250;003;450;004;50
18;MN;2025;2;92;048;0018;I;931;231;700;700;0;0;700;4;001;50;002;248;003;352;004;50
19;MN;2025;2;92;048;0019;I;1097;147;950;950;25;25;900;4;001;100;002;250;003;500;004;50
20;MN;2025;2;92;048;0020;I;991;391;600;600;0;0;600;4;001;50;002;180;003;320;004;50
21;MN;2025;2;92;048;0021;I;1014;164;850;850;50;5;795;4;001;95;002;150;003;500;004;50
22;MN;2025;2;92;048;0022;I;1012;112;900;900;5;5;890;4;001;90;002;300;003;402;004;98
23;MN;2025;2;92;048;0023;I;895;245;650;650;0;0;650;4;001;50;002;250;003;300;004;50
24;MN;2025;2;92;048;0024;I;870;170;700;700;0;0;700;4;001;20;002;130;003;500;004;50
25;MN;2025;2;92;048;0025;I;922;122;800;800;25;25;750;4;001;150;002;170;003;380;004;50
26;MN;2025;2;92;048;0026;I;798;48;750;750;20;30;700;4;001;40;002;260;003;350;004;50
27;MN;2025;2;92;048;0027;I;908;8;900;900;25;15;860;4;001;200;002;250;003;400;004;10
28;MN;2025;2;92;048;0028;I;876;26;850;850;25;15;810;4;001;170;002;230;003;300;004;110
29;MN;2025;2;92;048;0029;I;865;65;800;800;25;15;760;4;001;150;002;250;003;300;004;60
30;MN;2025;2;92;048;0030;I;916;16;900;900;30;25;845;4;001;200;002;150;003;450;004;45
31;MN;2025;2;92;048;0031;I;930;30;900;900;50;20;830;4;001;100;002;250;003;400;004;80
32;MN;2025;2;92;048;0032;I;874;74;800;800;50;20;730;4;001;200;002;150;003;300;004;80
